0,16384,32768,65536,131072,262144,524288,1048576
16,333.333,1048.11,1858.44,3148.35,4776.68,6106.6,7467.64
32,614.646,1116.68,2009.81,3647.37,6282.21,8856.22,12140.8
64,592.593,1122.81,2142.26,3965.15,7142.11,11377.8,16718.4
128,615.385,1154.45,2192.72,4366.74,7663.24,12309.5,18044.1
